id_avaliador,id_filme_TMDB,nota
rottentomatoes,211672,5.5
imdb,50620,5.5
tmdb,50620,6.5
imdb,299536,8.4
tmdb,299536,8.3
rottentomatoes,299536,8.5
imdb,293660,8.0
tmdb,293660,7.6
rottentomatoes,293660,8.5
imdb,452557,6.0
tmdb,452557,6.7
imdb,206647,6.8
tmdb,206647,6.5
rottentomatoes,206647,6.3
imdb,671,7.6
tmdb,671,7.9
imdb,675,7.5
tmdb,675,7.7
rottentomatoes,675,7.8
imdb,1865,6.6
tmdb,1865,6.5
rottentomatoes,1865,3.3
imdb,166426,6.5
tmdb,166426,6.6
rottentomatoes,166426,2.9
imdb,91314,5.6
tmdb,91314,5.9
rottentomatoes,91314,1.8
imdb,181808,6.9
tmdb,181808,6.9
rottentomatoes,181808,9.0
imdb,271110,7.8
tmdb,271110,7.4
rottentomatoes,271110,9.1
imdb,27205,8.8
tmdb,27205,8.3
rottentomatoes,27205,8.7
imdb,93456,7.3
tmdb,93456,6.9
rottentomatoes,93456,7.5
imdb,324852,6.3
tmdb,324852,6.4
rottentomatoes,324852,5.8
imdb,135397,7.0
tmdb,135397,6.7
rottentomatoes,135397,7.0
imdb,283995,7.6
tmdb,283995,7.6
rottentomatoes,283995,8.5
imdb,767,7.6
tmdb,767,7.7
rottentomatoes,767,8.4
imdb,14161,5.8
tmdb,14161,5.8
rottentomatoes,14161,3.9
imdb,315635,7.4
tmdb,315635,7.4
rottentomatoes,315635,9.2
imdb,118340,8.0
tmdb,118340,7.9
rottentomatoes,118340,9.1
imdb,758891,7.0
tmdb,758891,7.6
imdb,127380,7.3
tmdb,127380,7.1
rottentomatoes,127380,9.4
imdb,351286,6.2
tmdb,351286,6.6
rottentomatoes,351286,4.7
imdb,49026,8.4
tmdb,49026,7.8
rottentomatoes,49026,8.7
imdb,297802,6.9
tmdb,297802,6.9
imdb,150540,8.1
tmdb,150540,7.9
rottentomatoes,150540,9.8
imdb,420818,6.8
tmdb,420818,7.2
rottentomatoes,420818,5.2
imdb,278927,7.4
tmdb,278927,6.9
rottentomatoes,278927,9.4
imdb,591,6.6
tmdb,591,6.7
rottentomatoes,591,2.6
imdb,353081,7.7
tmdb,353081,7.4
rottentomatoes,353081,9.7
imdb,57800,6.5
tmdb,57800,6.3
rottentomatoes,57800,3.7
imdb,809,7.2
tmdb,809,7.2
rottentomatoes,809,8.9
imdb,12155,6.4
tmdb,12155,6.6
rottentomatoes,12155,5.1
imdb,109445,7.4
tmdb,109445,7.3
rottentomatoes,109445,9.0
imdb,475557,8.4
tmdb,475557,8.2
rottentomatoes,475557,6.8
imdb,297762,7.4
tmdb,297762,7.3
rottentomatoes,297762,9.3
imdb,353486,6.9
tmdb,353486,6.8
rottentomatoes,353486,7.6
imdb,672,7.4
tmdb,672,7.7
rottentomatoes,672,8.2
imdb,335983,6.7
tmdb,335983,6.8
rottentomatoes,335983,3.0
imdb,673,7.9
tmdb,673,8.0
rottentomatoes,673,9.0
imdb,429617,7.4
tmdb,429617,7.5
rottentomatoes,429617,9.0
imdb,384018,6.5
tmdb,384018,6.9
rottentomatoes,384018,6.7
imdb,24428,8.0
tmdb,24428,7.7
rottentomatoes,24428,9.2
imdb,321612,7.1
tmdb,321612,7.0
rottentomatoes,321612,7.1
imdb,121,8.7
tmdb,121,8.4
rottentomatoes,121,9.5
imdb,181812,6.5
tmdb,181812,6.5
rottentomatoes,181812,5.1
imdb,557,7.3
tmdb,557,7.2
rottentomatoes,557,9.0
imdb,299537,6.8
tmdb,299537,6.9
rottentomatoes,299537,7.9
imdb,285,7.1
tmdb,285,7.2
imdb,102651,7.0
tmdb,102651,7.1
rottentomatoes,102651,5.4
imdb,168259,7.1
tmdb,168259,7.3
rottentomatoes,168259,8.2
imdb,284053,7.9
tmdb,284053,7.6
rottentomatoes,284053,9.3
imdb,301528,7.7
tmdb,301528,7.6
rottentomatoes,301528,9.7
imdb,1930,6.9
tmdb,1930,6.6
rottentomatoes,1930,7.3
imdb,49521,7.0
tmdb,49521,6.6
rottentomatoes,49521,5.6
imdb,10192,6.3
tmdb,10192,6.3
rottentomatoes,10192,5.8
