id_avaliador,id_filme_TMDB,nota
tmdb,257211,7.2
rottentomatoes,257211,6.0
imdb,1391,7.6
tmdb,1391,7.4
imdb,24767,6.6
tmdb,24767,6.7
imdb,13184,5.3
tmdb,13184,5.2
rottentomatoes,13184,0.8
imdb,9877,5.6
tmdb,9877,5.7
rottentomatoes,9877,2.1
imdb,7300,6.5
tmdb,7300,6.4
rottentomatoes,7300,5.0
imdb,32043,5.4
tmdb,32043,5.7
rottentomatoes,32043,3.0
imdb,10678,5.6
tmdb,10678,6.0
rottentomatoes,10678,3.4
imdb,9932,5.9
tmdb,9932,5.8
rottentomatoes,9932,2.7
imdb,597,7.8
tmdb,597,7.9
rottentomatoes,597,8.9
imdb,44040,6.2
tmdb,44040,6.0
rottentomatoes,44040,5.0
imdb,12246,7.2
tmdb,12246,6.8
imdb,228326,7.3
tmdb,228326,7.5
rottentomatoes,228326,8.2
imdb,340402,6.1
tmdb,340402,5.8
rottentomatoes,340402,4.9
imdb,10368,6.9
tmdb,10368,6.4
imdb,9802,7.4
tmdb,9802,7.1
rottentomatoes,9802,6.6
imdb,23827,6.3
tmdb,23827,6.0
imdb,60307,6.5
tmdb,60307,6.6
imdb,19326,4.3
tmdb,19326,4.4
imdb,14968,7.7
tmdb,14968,7.4
imdb,140607,7.8
tmdb,140607,7.3
rottentomatoes,140607,9.2
imdb,71676,4.3
tmdb,71676,5.0
imdb,454292,5.2
tmdb,454292,6.4
imdb,291805,6.5
tmdb,291805,6.8
rottentomatoes,291805,3.3
imdb,11703,7.4
tmdb,11703,7.1
rottentomatoes,11703,8.7
imdb,9895,6.2
tmdb,9895,5.9
rottentomatoes,9895,2.2
imdb,41446,6.2
tmdb,41446,6.3
rottentomatoes,41446,6.0
imdb,1581,6.9
tmdb,1581,7.1
rottentomatoes,1581,4.9
imdb,538831,4.8
tmdb,538831,4.0
imdb,10766,6.3
tmdb,10766,6.4
imdb,65841,5.5
tmdb,65841,4.4
imdb,454992,6.1
tmdb,454992,6.4
rottentomatoes,454992,4.9
imdb,280690,5.3
tmdb,280690,6.0
imdb,752,8.1
tmdb,752,7.9
imdb,10131,5.7
tmdb,10131,5.9
rottentomatoes,10131,5.3
imdb,405924,7.3
tmdb,405924,7.1
imdb,4614,6.4
tmdb,4614,6.3
rottentomatoes,4614,6.0
imdb,25,7.0
tmdb,25,6.6
rottentomatoes,25,6.1
imdb,333348,5.8
tmdb,333348,6.0
rottentomatoes,333348,1.8
imdb,299536,8.4
tmdb,299536,8.3
rottentomatoes,299536,8.5
imdb,11017,6.4
tmdb,11017,6.2
rottentomatoes,11017,4.0
imdb,58574,7.5
tmdb,58574,7.1
rottentomatoes,58574,5.9
imdb,360365,5.6
tmdb,360365,7.3
imdb,12182,6.6
tmdb,12182,6.4
rottentomatoes,12182,7.5
imdb,13515,6.1
tmdb,13515,6.2
rottentomatoes,13515,1.5
imdb,11287,7.3
tmdb,11287,7.2
rottentomatoes,11287,7.8
imdb,416149,3.0
tmdb,416149,4.0
imdb,2990,6.4
tmdb,2990,6.3
rottentomatoes,2990,5.0
imdb,454699,4.8
tmdb,454699,5.9
imdb,333623,7.3
tmdb,333623,7.3
imdb,49018,6.8
tmdb,49018,6.9
imdb,3131,7.5
tmdb,3131,7.3
rottentomatoes,3131,7.3
imdb,135397,7.0
tmdb,135397,6.7
rottentomatoes,135397,7.0
imdb,479306,6.1
tmdb,479306,5.5
imdb,11177,7.2
tmdb,11177,7.1
imdb,338762,5.7
tmdb,338762,6.8
rottentomatoes,338762,3.0
imdb,411717,6.1
tmdb,411717,5.9
imdb,853,7.6
tmdb,853,7.4
rottentomatoes,853,5.3
imdb,36819,7.0
tmdb,36819,6.6
rottentomatoes,36819,9.0
imdb,36218,5.8
tmdb,36218,6.5
imdb,52451,5.7
tmdb,52451,5.8
rottentomatoes,52451,2.6
imdb,420818,6.8
tmdb,420818,7.2
rottentomatoes,420818,5.2
imdb,923,7.9
tmdb,923,7.5
imdb,188540,7.0
tmdb,188540,6.4
imdb,10426,5.8
tmdb,10426,6.2
rottentomatoes,10426,2.6
imdb,503616,5.8
tmdb,503616,6.4
rottentomatoes,503616,4.4
imdb,381902,5.9
tmdb,381902,5.8
imdb,17689,6.4
tmdb,17689,6.7
rottentomatoes,17689,7.5
imdb,286110,8.8
tmdb,286110,7.8
imdb,174,7.2
tmdb,174,7.0
imdb,16094,6.5
tmdb,16094,6.4
rottentomatoes,16094,9.3
imdb,1427,7.5
tmdb,1427,7.3
rottentomatoes,1427,5.9
imdb,533,7.4
tmdb,533,7.0
rottentomatoes,533,9.5
imdb,10466,6.4
tmdb,10466,6.4
rottentomatoes,10466,4.8
imdb,14813,8.0
tmdb,14813,7.6
rottentomatoes,14813,10.0
imdb,24428,8.0
tmdb,24428,7.7
rottentomatoes,24428,9.2
imdb,4922,7.8
tmdb,4922,7.6
rottentomatoes,4922,7.2
imdb,13260,5.8
tmdb,13260,5.6
rottentomatoes,13260,2.2
imdb,26022,8.0
tmdb,26022,8.1
rottentomatoes,26022,8.5
imdb,501170,7.3
tmdb,501170,7.2
imdb,247645,8.2
tmdb,247645,7.4
imdb,154,7.7
tmdb,154,7.5
rottentomatoes,154,8.8
imdb,10560,6.7
tmdb,10560,7.0
rottentomatoes,10560,4.2
imdb,29427,6.5
tmdb,29427,6.2
rottentomatoes,29427,7.0
imdb,6341,6.4
tmdb,6341,6.1
rottentomatoes,6341,7.7
imdb,14012,6.1
tmdb,14012,6.9
rottentomatoes,14012,5.3
imdb,9738,5.7
tmdb,9738,5.8
rottentomatoes,9738,2.7
imdb,10303,6.1
tmdb,10303,6.2
rottentomatoes,10303,4.8
imdb,8870,5.7
tmdb,8870,5.6
rottentomatoes,8870,1.4
imdb,156022,7.2
tmdb,156022,7.2
rottentomatoes,156022,5.9
imdb,141614,5.7
tmdb,141614,5.8
imdb,11951,7.2
tmdb,11951,7.2
imdb,587807,5.3
tmdb,587807,7.1
imdb,11777,6.2
tmdb,11777,6.0
rottentomatoes,11777,4.4
imdb,168259,7.1
tmdb,168259,7.3
rottentomatoes,168259,8.2
imdb,22949,5.3
tmdb,22949,5.5
rottentomatoes,22949,0.5
imdb,10830,6.9
tmdb,10830,7.1
rottentomatoes,10830,9.0
imdb,51200,7.3
tmdb,51200,7.3
imdb,535544,7.4
tmdb,535544,7.2
rottentomatoes,535544,8.4
imdb,714,6.5
tmdb,714,6.3
rottentomatoes,714,5.7
imdb,2360,6.9
tmdb,2360,6.6
imdb,81273,6.6
tmdb,81273,6.3
imdb,10061,5.7
tmdb,10061,5.9
imdb,2001,6.8
tmdb,2001,6.7
rottentomatoes,2001,5.7
imdb,136400,6.7
tmdb,136400,6.5
rottentomatoes,136400,6.4
imdb,330457,6.8
tmdb,330457,7.3
rottentomatoes,330457,7.7
imdb,38,8.3
tmdb,38,8.1
rottentomatoes,38,9.3
imdb,8224,6.5
tmdb,8224,6.4
rottentomatoes,8224,2.1
imdb,2907,6.9
tmdb,2907,7.0
rottentomatoes,2907,6.4
imdb,1499,4.8
tmdb,1499,5.4
rottentomatoes,1499,2.3
imdb,30315,5.8
tmdb,30315,5.5
imdb,17207,6.0
tmdb,17207,5.5
rottentomatoes,17207,1.4
imdb,602063,7.3
tmdb,602063,8.0
imdb,239563,7.2
tmdb,239563,7.1
rottentomatoes,239563,7.7
imdb,87,7.5
tmdb,87,7.3
rottentomatoes,87,8.4
imdb,11257,7.3
tmdb,11257,7.0
imdb,8696,6.9
tmdb,8696,6.6
rottentomatoes,8696,7.4
imdb,99861,7.3
tmdb,99861,7.3
rottentomatoes,99861,7.6
imdb,9816,6.2
tmdb,9816,6.6
rottentomatoes,9816,5.3
imdb,11286,6.3
tmdb,11286,6.1
imdb,14438,6.5
tmdb,14438,7.4
rottentomatoes,14438,3.8
imdb,978,7.1
tmdb,978,7.2
rottentomatoes,978,6.0
imdb,8094,7.7
tmdb,8094,7.5
imdb,10204,5.9
tmdb,10204,5.9
rottentomatoes,10204,3.2
imdb,105864,6.7
tmdb,105864,6.7
rottentomatoes,105864,7.6
imdb,11821,6.2
tmdb,11821,6.3
rottentomatoes,11821,6.8
imdb,708,6.7
tmdb,708,6.5
rottentomatoes,708,7.3
imdb,20002,4.1
tmdb,20002,4.5
imdb,42435,4.2
tmdb,42435,4.9
imdb,10096,6.2
tmdb,10096,6.7
rottentomatoes,10096,6.5
imdb,339877,7.8
tmdb,339877,8.1
rottentomatoes,339877,8.5
imdb,284054,7.3
tmdb,284054,7.4
rottentomatoes,284054,9.6
imdb,239566,6.9
tmdb,239566,6.7
imdb,41280,5.2
tmdb,41280,5.8
imdb,165,7.8
tmdb,165,7.7
rottentomatoes,165,6.6
imdb,9381,5.6
tmdb,9381,5.6
rottentomatoes,9381,0.6
imdb,76489,5.1
tmdb,76489,5.7
rottentomatoes,76489,5.2
imdb,14395,6.1
tmdb,14395,6.3
imdb,9607,4.1
tmdb,9607,4.2
imdb,280217,6.6
tmdb,280217,6.7
imdb,5038,7.1
tmdb,5038,6.8
rottentomatoes,5038,8.1
imdb,401791,4.9
tmdb,401791,6.8
imdb,463821,6.1
tmdb,463821,6.3
rottentomatoes,463821,6.6
imdb,11469,4.9
tmdb,11469,5.4
rottentomatoes,11469,1.4
imdb,8536,6.8
tmdb,8536,6.7
imdb,12445,8.1
tmdb,12445,8.1
rottentomatoes,12445,9.6
imdb,161808,2.9
tmdb,161808,3.7
imdb,55,8.1
tmdb,55,7.6
imdb,16619,7.7
tmdb,16619,7.5
rottentomatoes,16619,8.9
imdb,77866,6.4
tmdb,77866,6.3
rottentomatoes,77866,5.2
imdb,13499,5.5
tmdb,13499,6.1
rottentomatoes,13499,0.6
imdb,16082,6.7
tmdb,16082,6.8
rottentomatoes,16082,4.6
imdb,9722,4.8
tmdb,9722,5.0
rottentomatoes,9722,2.5
imdb,425134,6.0
tmdb,425134,6.9
rottentomatoes,425134,3.9
imdb,311324,5.9
tmdb,311324,5.9
imdb,126509,5.0
tmdb,126509,4.3
rottentomatoes,126509,2.6
imdb,10358,6.5
tmdb,10358,6.3
rottentomatoes,10358,6.6
imdb,10477,4.6
tmdb,10477,5.1
rottentomatoes,10477,1.4
imdb,23483,7.6
tmdb,23483,7.1
rottentomatoes,23483,7.6
imdb,9291,6.4
tmdb,9291,6.6
rottentomatoes,9291,3.1
imdb,454640,6.4
tmdb,454640,7.2
rottentomatoes,454640,7.3
imdb,12508,6.3
tmdb,12508,6.7
rottentomatoes,12508,5.3
imdb,181808,6.9
tmdb,181808,6.9
rottentomatoes,181808,9.0
imdb,543580,8.3
tmdb,543580,7.9
imdb,11077,5.4
tmdb,11077,6.0
imdb,84892,7.9
tmdb,84892,7.8
rottentomatoes,84892,8.6
imdb,222936,5.4
tmdb,222936,5.5
rottentomatoes,222936,2.0
imdb,7220,6.4
tmdb,7220,6.3
rottentomatoes,7220,2.9
imdb,9383,5.8
tmdb,9383,5.9
rottentomatoes,9383,2.7
imdb,36647,7.1
tmdb,36647,6.7
rottentomatoes,36647,5.6
imdb,180863,7.2
tmdb,180863,7.0
rottentomatoes,180863,8.1
imdb,14462,6.6
tmdb,14462,6.4
rottentomatoes,14462,8.0
imdb,14199,3.7
tmdb,14199,5.1
imdb,532444,7.0
tmdb,532444,7.7
imdb,351286,6.2
tmdb,351286,6.6
rottentomatoes,351286,4.7
imdb,13476,5.6
tmdb,13476,5.7
imdb,11007,5.9
tmdb,11007,6.3
rottentomatoes,11007,2.4
imdb,550988,7.2
tmdb,550988,7.8
imdb,70435,5.8
tmdb,70435,5.7
imdb,458253,6.7
tmdb,458253,7.0
rottentomatoes,458253,8.9
imdb,8452,5.9
tmdb,8452,5.9
rottentomatoes,8452,4.0
imdb,33875,6.1
tmdb,33875,6.5
imdb,11551,6.2
tmdb,11551,6.5
rottentomatoes,11551,4.8
imdb,134,7.7
tmdb,134,7.3
rottentomatoes,134,7.7
imdb,109445,7.4
tmdb,109445,7.3
rottentomatoes,109445,9.0
imdb,9726,7.0
tmdb,9726,6.7
rottentomatoes,9726,2.5
imdb,11835,6.7
tmdb,11835,6.6
rottentomatoes,11835,2.0
imdb,1584,7.1
tmdb,1584,7.1
rottentomatoes,1584,9.1
imdb,22067,6.6
tmdb,22067,6.7
rottentomatoes,22067,6.1
imdb,2122,5.5
tmdb,2122,5.7
imdb,67660,6.5
tmdb,67660,6.9
rottentomatoes,67660,5.4
imdb,8967,6.8
tmdb,8967,6.7
rottentomatoes,8967,8.5
imdb,22825,5.6
tmdb,22825,5.6
rottentomatoes,22825,4.4
imdb,6950,6.6
tmdb,6950,6.5
rottentomatoes,6950,6.0
imdb,39514,7.0
tmdb,39514,6.7
imdb,1597,7.0
tmdb,1597,6.7
rottentomatoes,1597,8.4
imdb,38073,6.3
tmdb,38073,6.1
rottentomatoes,38073,5.4
imdb,17443,7.4
tmdb,17443,7.0
rottentomatoes,17443,8.3
imdb,4347,7.8
tmdb,4347,7.7
rottentomatoes,4347,8.3
imdb,321612,7.1
tmdb,321612,7.0
rottentomatoes,321612,7.1
imdb,83,5.7
tmdb,83,5.5
imdb,16471,5.1
tmdb,16471,5.5
imdb,11470,4.4
tmdb,11470,4.8
imdb,9352,6.6
tmdb,9352,6.5
imdb,1954,7.6
tmdb,1954,7.5
rottentomatoes,1954,3.3
imdb,11395,6.5
tmdb,11395,6.4
imdb,10395,6.2
tmdb,10395,6.1
rottentomatoes,10395,6.0
imdb,856,7.7
tmdb,856,7.5
rottentomatoes,856,9.7
imdb,33196,5.6
tmdb,33196,6.7
imdb,17701,7.1
tmdb,17701,6.0
imdb,4169,7.0
tmdb,4169,6.6
rottentomatoes,4169,8.4
imdb,11852,5.5
tmdb,11852,6.3
rottentomatoes,11852,2.2
imdb,260513,7.6
tmdb,260513,7.5
rottentomatoes,260513,9.3
imdb,289222,7.0
tmdb,289222,7.4
rottentomatoes,289222,6.3
imdb,44214,8.0
tmdb,44214,7.6
rottentomatoes,44214,8.5
imdb,11093,7.5
tmdb,11093,7.2
rottentomatoes,11093,7.4
imdb,48171,6.0
tmdb,48171,6.1
rottentomatoes,48171,2.1
imdb,227719,6.4
tmdb,227719,6.6
rottentomatoes,227719,3.6
imdb,48138,6.8
tmdb,48138,6.6
rottentomatoes,48138,5.4
imdb,146304,6.7
tmdb,146304,6.5
rottentomatoes,146304,7.1
imdb,10141,7.4
tmdb,10141,7.1
rottentomatoes,10141,8.9
imdb,45772,5.9
tmdb,45772,5.9
imdb,19663,6.8
tmdb,19663,6.3
imdb,8293,7.4
tmdb,8293,7.1
rottentomatoes,8293,9.4
imdb,337339,6.6
tmdb,337339,6.9
rottentomatoes,337339,6.7
imdb,3291,7.4
tmdb,3291,7.1
imdb,431530,5.6
tmdb,431530,6.3
rottentomatoes,431530,3.2
imdb,9671,6.6
tmdb,9671,6.4
rottentomatoes,9671,8.8
imdb,10860,7.3
tmdb,10860,7.2
rottentomatoes,10860,6.8
imdb,12151,6.9
tmdb,12151,6.7
rottentomatoes,12151,9.4
imdb,14976,6.7
tmdb,14976,6.3
rottentomatoes,14976,8.4
imdb,372399,6.8
tmdb,372399,6.4
imdb,613504,5.2
tmdb,613504,7.3
imdb,11895,4.4
tmdb,11895,5.1
imdb,8952,6.6
tmdb,8952,6.4
imdb,24684,7.3
tmdb,24684,7.0
rottentomatoes,24684,9.4
imdb,68721,7.1
tmdb,68721,6.9
rottentomatoes,68721,7.9
imdb,10139,7.5
tmdb,10139,7.3
rottentomatoes,10139,9.3
imdb,10024,7.3
tmdb,10024,7.4
rottentomatoes,10024,4.8
imdb,83542,7.4
tmdb,83542,6.9
rottentomatoes,83542,6.7
imdb,11336,7.2
tmdb,11336,7.0
rottentomatoes,11336,8.9
imdb,10525,6.5
tmdb,10525,6.0
rottentomatoes,10525,5.0
imdb,211672,6.4
tmdb,211672,6.4
rottentomatoes,211672,5.5
imdb,12771,5.3
tmdb,12771,5.3
rottentomatoes,12771,0.4
imdb,29786,7.0
tmdb,29786,6.6
rottentomatoes,29786,8.4
imdb,192141,6.8
tmdb,192141,6.9
rottentomatoes,192141,4.7
imdb,807,8.6
tmdb,807,8.3
imdb,49953,6.1
tmdb,49953,6.0
imdb,846,7.0
tmdb,846,6.8
imdb,15691,6.4
tmdb,15691,6.3
imdb,1885,7.3
tmdb,1885,7.1
rottentomatoes,1885,8.9
imdb,277,7.0
tmdb,277,6.8
rottentomatoes,277,3.1
imdb,3537,6.6
tmdb,3537,6.4
rottentomatoes,3537,8.4
imdb,271110,7.8
tmdb,271110,7.4
rottentomatoes,271110,9.1
imdb,10691,6.4
tmdb,10691,6.6
rottentomatoes,10691,6.3
imdb,11456,5.6
tmdb,11456,5.8
rottentomatoes,11456,2.4
imdb,454293,5.6
tmdb,454293,6.2
rottentomatoes,454293,2.6
imdb,1370,5.8
tmdb,1370,6.1
rottentomatoes,1370,3.9
imdb,413594,7.4
tmdb,413594,7.7
imdb,20829,6.3
tmdb,20829,5.8
rottentomatoes,20829,6.9
imdb,1819,5.6
tmdb,1819,5.6
rottentomatoes,1819,2.0
imdb,105001,4.8
tmdb,105001,5.4
imdb,458156,7.4
tmdb,458156,7.4
rottentomatoes,458156,9.0
imdb,7485,7.2
tmdb,7485,7.1
rottentomatoes,7485,4.7
imdb,17043,5.4
tmdb,17043,5.7
rottentomatoes,17043,5.3
imdb,47901,5.7
tmdb,47901,5.8
imdb,1968,6.1
tmdb,1968,6.4
rottentomatoes,1968,3.2
imdb,187017,7.0
tmdb,187017,6.9
rottentomatoes,187017,8.5
imdb,1955,8.1
tmdb,1955,8.1
rottentomatoes,1955,9.2
imdb,5723,7.8
tmdb,5723,7.4
rottentomatoes,5723,9.7
imdb,612,7.5
tmdb,612,7.1
rottentomatoes,612,7.8
imdb,16620,6.9
tmdb,16620,7.2
rottentomatoes,16620,9.1
imdb,297802,6.9
tmdb,297802,6.9
imdb,350,6.9
tmdb,350,7.4
rottentomatoes,350,7.5
imdb,1273,6.2
tmdb,1273,6.0
rottentomatoes,1273,3.5
imdb,241554,6.6
tmdb,241554,6.4
rottentomatoes,241554,5.9
imdb,13430,7.7
tmdb,13430,7.1
imdb,1770,7.2
tmdb,1770,6.9
rottentomatoes,1770,7.7
imdb,9509,7.7
tmdb,9509,7.4
rottentomatoes,9509,3.8
imdb,776305,7.3
tmdb,776305,8.1
imdb,116745,7.3
tmdb,116745,7.1
imdb,16710,4.5
tmdb,16710,6.6
imdb,10264,6.7
tmdb,10264,6.7
rottentomatoes,10264,7.6
imdb,438808,6.5
tmdb,438808,6.3
rottentomatoes,438808,5.8
imdb,15602,6.7
tmdb,15602,6.5
rottentomatoes,15602,1.7
imdb,429617,7.4
tmdb,429617,7.5
rottentomatoes,429617,9.0
imdb,86838,7.2
tmdb,86838,6.8
rottentomatoes,86838,8.3
imdb,13665,6.9
tmdb,13665,6.5
rottentomatoes,13665,8.8
imdb,177,7.5
tmdb,177,7.3
rottentomatoes,177,8.4
imdb,24830,5.7
tmdb,24830,5.2
imdb,440,4.6
tmdb,440,5.1
imdb,370076,7.4
tmdb,370076,6.6
imdb,260346,6.0
tmdb,260346,6.2
imdb,15128,5.8
tmdb,15128,5.8
imdb,72207,6.2
tmdb,72207,5.8
rottentomatoes,72207,6.3
imdb,579,5.8
tmdb,579,5.9
rottentomatoes,579,5.8
imdb,299537,6.8
tmdb,299537,6.9
rottentomatoes,299537,7.9
imdb,12159,7.0
tmdb,12159,7.2
rottentomatoes,12159,5.4
imdb,4912,7.0
tmdb,4912,6.8
imdb,417384,6.2
tmdb,417384,6.5
rottentomatoes,417384,7.8
imdb,700,6.5
tmdb,700,6.3
rottentomatoes,700,4.3
imdb,570670,7.1
tmdb,570670,7.2
rottentomatoes,570670,9.1
imdb,15370,7.2
tmdb,15370,7.2
imdb,7942,6.6
tmdb,7942,6.1
rottentomatoes,7942,4.7
imdb,24266,7.3
tmdb,24266,6.8
rottentomatoes,24266,8.5
imdb,82687,5.7
tmdb,82687,5.6
rottentomatoes,82687,3.7
imdb,416144,7.6
tmdb,416144,7.6
imdb,2133,6.4
tmdb,2133,6.4
rottentomatoes,2133,4.7
imdb,9428,7.6
tmdb,9428,7.5
imdb,24827,6.4
tmdb,24827,6.1
imdb,243688,4.9
tmdb,243688,5.2
rottentomatoes,243688,3.1
imdb,949,8.2
tmdb,949,7.9
rottentomatoes,949,8.7
imdb,38356,6.2
tmdb,38356,6.1
rottentomatoes,38356,3.5
imdb,16643,5.8
tmdb,16643,5.7
rottentomatoes,16643,2.8
imdb,850,7.9
tmdb,850,7.3
rottentomatoes,850,8.9
imdb,11843,7.1
tmdb,11843,6.8
rottentomatoes,11843,8.4
imdb,97,6.8
tmdb,97,6.7
imdb,5825,7.6
tmdb,5825,7.2
rottentomatoes,5825,6.7
imdb,11423,8.1
tmdb,11423,8.1
imdb,527774,7.4
tmdb,527774,8.1
imdb,31915,5.5
tmdb,31915,5.7
rottentomatoes,31915,2.4
imdb,10545,7.0
tmdb,10545,7.1
rottentomatoes,10545,7.1
imdb,58224,6.0
tmdb,58224,5.9
rottentomatoes,58224,4.7
imdb,9620,6.3
tmdb,9620,6.2
rottentomatoes,9620,2.7
imdb,24226,7.7
tmdb,24226,7.5
rottentomatoes,24226,8.8
imdb,122,8.9
tmdb,122,8.5
rottentomatoes,122,9.3
imdb,11323,6.4
tmdb,11323,6.1
rottentomatoes,11323,7.9
imdb,3563,5.9
tmdb,3563,6.0
rottentomatoes,3563,1.5
imdb,9279,5.6
tmdb,9279,5.9
rottentomatoes,9279,1.5
imdb,11045,4.5
tmdb,11045,5.5
rottentomatoes,11045,0.9
imdb,283552,7.2
tmdb,283552,7.1
rottentomatoes,283552,6.1
imdb,17979,6.8
tmdb,17979,6.8
imdb,19898,6.7
tmdb,19898,6.5
rottentomatoes,19898,3.0
imdb,62837,6.8
tmdb,62837,7.0
rottentomatoes,62837,8.1
imdb,37724,7.8
tmdb,37724,7.2
rottentomatoes,37724,9.2
imdb,389015,7.5
tmdb,389015,7.5
imdb,9730,6.0
tmdb,9730,6.1
imdb,76203,8.1
tmdb,76203,8.0
rottentomatoes,76203,9.5
imdb,2623,7.0
tmdb,2623,7.0
rottentomatoes,2623,7.9
imdb,24032,6.6
tmdb,24032,6.5
rottentomatoes,24032,7.2
imdb,19740,6.7
tmdb,19740,6.5
rottentomatoes,19740,6.7
imdb,2291,7.5
tmdb,2291,7.4
rottentomatoes,2291,7.3
imdb,38055,7.3
tmdb,38055,6.9
rottentomatoes,38055,7.2
imdb,10057,6.4
tmdb,10057,6.4
rottentomatoes,10057,2.8
imdb,77948,4.9
tmdb,77948,5.3
rottentomatoes,77948,0.4
imdb,10571,5.4
tmdb,10571,5.9
rottentomatoes,10571,1.1
imdb,568160,7.5
tmdb,568160,8.1
imdb,13612,6.1
tmdb,13612,6.1
imdb,123553,5.9
tmdb,123553,6.4
rottentomatoes,123553,1.3
imdb,86829,7.5
tmdb,86829,7.2
rottentomatoes,86829,9.2
imdb,24803,7.0
tmdb,24803,6.7
rottentomatoes,24803,7.7
imdb,11319,6.9
tmdb,11319,6.8
rottentomatoes,11319,8.1
imdb,91314,5.6
tmdb,91314,5.9
rottentomatoes,91314,1.8
imdb,16300,5.5
tmdb,16300,5.4
rottentomatoes,16300,2.0
imdb,531309,6.1
tmdb,531309,6.1
rottentomatoes,531309,5.8
imdb,342521,6.3
tmdb,342521,6.0
rottentomatoes,342521,7.7
imdb,78,8.1
tmdb,78,7.9
rottentomatoes,78,9.0
imdb,282813,4.6
tmdb,282813,5.2
rottentomatoes,282813,1.4
imdb,460019,5.2
tmdb,460019,6.0
imdb,16084,6.3
tmdb,16084,6.2
rottentomatoes,16084,7.0
imdb,943,6.7
tmdb,943,6.7
rottentomatoes,943,6.0
imdb,547,6.6
tmdb,547,6.9
rottentomatoes,547,7.4
imdb,1577,6.2
tmdb,1577,6.4
rottentomatoes,1577,2.0
imdb,10478,6.4
tmdb,10478,6.0
rottentomatoes,10478,7.1
imdb,19931,7.7
tmdb,19931,7.2
rottentomatoes,19931,8.6
imdb,49026,8.4
tmdb,49026,7.8
rottentomatoes,49026,8.7
imdb,2148,6.6
tmdb,2148,6.6
rottentomatoes,2148,7.6
imdb,9641,5.5
tmdb,9641,6.1
rottentomatoes,9641,0.6
imdb,9873,6.7
tmdb,9873,6.4
rottentomatoes,9873,8.8
imdb,475557,8.4
tmdb,475557,8.2
rottentomatoes,475557,6.8
imdb,136835,5.6
tmdb,136835,6.0
rottentomatoes,136835,1.2
imdb,438799,6.6
tmdb,438799,6.7
rottentomatoes,438799,8.1
imdb,20943,6.4
tmdb,20943,6.5
rottentomatoes,20943,1.4
imdb,69,7.8
tmdb,69,7.5
rottentomatoes,69,8.2
imdb,76758,7.6
tmdb,76758,7.5
imdb,6951,6.2
tmdb,6951,6.4
imdb,9962,6.4
tmdb,9962,6.3
imdb,2757,7.7
tmdb,2757,7.4
imdb,9298,6.3
tmdb,9298,6.1
imdb,4551,5.6
tmdb,4551,5.4
rottentomatoes,4551,3.0
imdb,137,8.0
tmdb,137,7.6
rottentomatoes,137,9.6
imdb,10625,7.0
tmdb,10625,7.2
rottentomatoes,10625,8.4
imdb,10197,5.8
tmdb,10197,5.6
rottentomatoes,10197,3.9
imdb,3432,7.3
tmdb,3432,6.9
rottentomatoes,3432,5.5
imdb,181812,6.5
tmdb,181812,6.5
rottentomatoes,181812,5.1
imdb,20662,6.6
tmdb,20662,6.4
rottentomatoes,20662,4.3
imdb,387949,3.6
tmdb,387949,3.5
imdb,17466,5.7
tmdb,17466,6.1
imdb,435841,7.1
tmdb,435841,7.4
imdb,45272,6.3
tmdb,45272,6.4
imdb,12506,7.4
tmdb,12506,7.1
rottentomatoes,12506,7.6
imdb,245,7.1
